a	ա	135
aac	աած	23
afekti	աֆեկտի	29
aha	ահա	188
ahakin	ահագին	44
ahavor	ահավոր	47
ahreli	ահռելի	23
aj	աջ	42
aj	աճ	14
ajakanj	աջականջը	23
ajakanje	աջականջը	23
ajakanju	աջականջը	23
ajakanjy	աջականջը	23
ajakcel	աջակցել	34
ajakcelov	աջակցելով	14
ajakcoq	աջակցող	14
ajakcum	աջակցում	14
ajakcutyan	աջակցության	23
ajakcutyun	աջակցություն	14
ajakcutyun	աջակցությունը	14
ajakcutyune	աջակցությունը	14
ajakcutyunu	աջակցությունը	14
ajakcutyuny	աջակցությունը	14
ajakic	աջակից	14
ajakicn	աջակիցն	14
ajapnyak	աջափնյակ	23
ajarov	աճարով	14
ajecrel	աճեցրել	14
ajecvac	աճեցված	34
ajel	աճել	23
ajelu	աճելու	14
ajiotaji	աժիոտաժի	23
ajk	աչք	14
ajker	աչքեր	42
ajker	աչքերը	34
ajkere	աչքերը	34
ajkeri	աչքերի	34
ajkeris	աչքերիս	14
ajkerit	աչքերիդ	14
ajkerov	աչքերով	34
ajkers	աչքերս	38
ajkeru	աչքերը	34
ajkery	աչքերը	34
ajki	աչքի	47
ajkics	աչքիցս	23
ajkit	աչքիդ	14
ajkn	աչքն	29
ajknert	աչքներդ	23
ajkov	աչքով	47
ajks	աչքս	14
ajman	աճման	14
ajoq	աճող	14
ajotaji	աժոտաժի	42
ajuknerin	աչուկներին	42
ajum	աճում	55
akamayic	ակամայից	38
akan	ական	23
akanjakalners	ականջակալներս	29
akanjin	ականջին	14
akanjner	ականջները	29
akanjnere	ականջները	29
akanjneru	ականջները	29
akanjnery	ականջները	29
akanner	ականները	14
akannere	ականները	14
akanneri	ականների	42
akanneru	ականները	14
akannery	ականները	14
akatemya	ակադեմիա	29
akatemyakan	ակադեմիական	23
akatemyayi	ակադեմիայի	34
akatemyayum	ակադեմիայում	29
akavayi	ագավայի	14
akcentov	ակցենտով	38
akcitentneric	ակցիդենտներից	14
akcitentnerov	ակցիդենտներով	14
akcya	ակցիա	14
akcyanerin	ակցիաներին	14
aknarkel	ակնարկել	14
akne	ակնե	29
aknehantutyunic	ակնեհանդությունից	23
aknehivantutyunic	ակնեհիվանդությունից	23
aknen	ակնեն	14
aknhayt	ակնհայտ	42
aknhaytoren	ակնհայտորեն	38
aknkalum	ակնկալում	44
akosn	ակոսն	14
akresiv	ագրեսիվ	34
akresya	ագրեսիա	14
akt	ակտ	23
aktiv	ակտիվ	172
aktivoren	ակտիվորեն	14
aktivutyan	ակտիվության	14
aktivutyun	ակտիվություն	14
aktivutyun	ակտիվությունը	14
aktivutyune	ակտիվությունը	14
aktivutyunu	ակտիվությունը	14
aktivutyuny	ակտիվությունը	14
aktual	ակտուալ	47
akump	ակումբ	14
akumpayin	ակումբային	14
akumpin	ակումբին	42
akumpinkic	ակումբինկից	44
akumpum	ակումբում	14
akunk	ակունք	14
ala	ալա	23
alaskan	ալասկան	23
aleks	ալեքս	14
aleks	ալեքսը	14
aleksantra	ալեքսանդրա	14
aleksantrapol	ալեքսանդրապոլ	14
aleksantrapoli	ալեքսանդրապոլի	14
aleksanyan	ալեքսանյանը	23
aleksanyane	ալեքսանյանը	23
aleksanyanu	ալեքսանյանը	23
aleksanyany	ալեքսանյանը	23
alekse	ալեքսը	14
aleksi	ալեքսի	14
aleksn	ալեքսն	14
aleksu	ալեքսը	14
aleksy	ալեքսը	14
aleni	ալենի	29
aliev	ալիեւը	29
alieve	ալիեւը	29
alievu	ալիեւը	29
alievy	ալիեւը	29
alik	ալիքը	34
alik	ալիք	29
alik	ալիկ	23
alike	ալիքը	34
aliki	ալիքի	23
alikin	ալիքին	65
alikn	ալիքն	14
alikov	ալիքով	14
aliku	ալիքը	34
alikum	ալիքում	23
aliky	ալիքը	34
alis	ալիս	23
alisi	ալիսի	23
alkohol	ալկոհոլը	47
alkohol	ալկոհոլ	29
alkoholayin	ալկոհոլային	14
alkohole	ալկոհոլը	47
alkoholic	ալկոհոլից	23
alkoholik	ալկոհոլիկ	34
alkoholn	ալկոհոլն	14
alkoholu	ալկոհոլը	47
alkoholy	ալկոհոլը	47
almarjan	ալմարջան	38
alopecyaner	ալոպեցիաներ	29
alpomner	ալբոմները	38
alpomnere	ալբոմները	38
alpomneru	ալբոմները	38
alpomnery	ալբոմները	38
alvum	ալվում	44
alyumin	ալյումինը	23
alyumine	ալյումինը	23
alyuminu	ալյումինը	23
alyuminy	ալյումինը	23
alyupvi	ալյուբվի	23
alyur	ալյուր	38
alyur	ալյուրը	14
alyure	ալյուրը	14
alyurov	ալյուրով	14
alyuru	ալյուրը	14
alyury	ալյուրը	14
amajel	ամաչել	42
amajelu	ամաչելու	14
amajum	ամաչում	42
amal	ամալը	29
amal	ամալ	14
amala	ամալա	23
amale	ամալը	29
amale	ամալե	14
amalu	ամալը	29
amaly	ամալը	29
amalya	ամալիա	58
amalya	ամալյա	34
amalyayi	ամալիայի	14
aman	աման	34
aman	ամանը	14
amanakarkum	ամանակարգում	14
amane	ամանը	14
amani	ամանի	23
amanner	ամաններ	29
amanneri	ամանների	14
amannerov	ամաններով	29
amanu	ամանը	14
amany	ամանը	14
amar	ամառ	164
amara	ամարա	14
amarayin	ամառային	168
amaris	ամարիս	42
amarisi	ամարիսի	23
amen	ամեն	214
amen	ամենը	174
amena	ամենա	55
amenaaapsurt	ամենաաաբսուրդ	34
amenaanhavanakan	ամենաանհավանական	23
amenaapahov	ամենաապահով	14
amenaarajin	ամենաառաջինը	29
amenaarajine	ամենաառաջինը	29
amenaarajinn	ամենաառաջինն	14
amenaarajinu	ամենաառաջինը	29
amenaarajiny	ամենաառաջինը	29
amenaarak	ամենաարագ	38
amenaartyunavet	ամենաարդյունավետ	14
amenaaznvakan	ամենաազնվական	29
amenacanr	ամենածանր	34
amenacavot	ամենացավոտ	14
amenaejan	ամենաէժան	14
amenaerevi	ամենաերեւի	14
amenafantastik	ամենաֆանտաստիկ	14
amenahameq	ամենահամեղ	53
amenahameq	ամենահամեղը	38
amenahameqe	ամենահամեղը	38
amenahamequ	ամենահամեղը	38
amenahameqy	ամենահամեղը	38
amenahamov	ամենահամով	23
amenaharazat	ամենահարազատ	23
amenaharmar	ամենահարմար	14
amenahasarak	ամենահասարակ	14
amenahaytni	ամենահայտնի	38
amenahetakrkir	ամենահետաքրքիր	34
amenahetakrkirn	ամենահետաքրքիրն	29
amenahewt	ամենահեշտ	34
amenahin	ամենահին	29
amenaim	ամենաիմ	14
amenajiwt	ամենաճիշտ	34
amenak	ամենագ	14
amenakar	ամենակար	14
amenakarevor	ամենակարեւորը	182
amenakarevor	ամենակարեւոր	160
amenakarevore	ամենակարեւորը	182
amenakarevorn	ամենակարեւորն	174
amenakarevoru	ամենակարեւորը	182
amenakarevory	ամենակարեւորը	182
amenakarj	ամենակարճ	34
amenakentronum	ամենակենտրոնում	29
amenakeqecik	ամենագեղեցիկ	49
amenakeqecikn	ամենագեղեցիկն	51
amenaknnarkvoq	ամենաքննարկվող	29
amenaknnarkvoqn	ամենաքննարկվողն	14
amenalav	ամենալավ	166
amenalavn	ամենալավն	23
amenalayn	ամենալայն	42
amenalurj	ամենալուրջ	29
amenamatjeliic	ամենամատչելիից	14
amenamazalu	ամենամազալու	14
amenamec	ամենամեծ	172
amenamterim	ամենամտերիմ	14
amenanoq	ամենանող	23
amenanor	ամենանոր	49
amenaparcr	ամենաբարձր	38
amenaparcrajawak	ամենաբարձրաճաշակ	14
amenapart	ամենաբարդ	23
amenapazmazan	ամենաբազմազան	29
amenaprofesional	ամենապրոֆեսիոնալ	14
amenasev	ամենասեւ	44
amenasirac	ամենասիրած	42
amenasireli	ամենասիրելի	168
amenasirelin	ամենասիրելին	44
amenasirun	ամենասիրուն	14
amenaskantalayin	ամենասկանդալային	14
amenasxal	ամենասխալ	44
amenatank	ամենաթանկ	59
amenatar	ամենատար	14
amenatarm	ամենաթարմ	58
amenatarm	ամենատարմ	34
amenatarm	ամենաթարմը	14
amenatarme	ամենաթարմը	14
amenatarmu	ամենաթարմը	14
amenatarmy	ամենաթարմը	14
amenatarper	ամենատարբեր	69
amenatjvar	ամենադժվար	23
amenatrakan	ամենադրական	34
amenattuner	ամենաթթուներ	23
amenatxur	ամենատխուր	38
amenatxurn	ամենատխուրն	23
amenaujeq	ամենաուժեղ	23
amenavat	ամենավատ	14
amenaverjin	ամենավերջին	14
amenawat	ամենաշատը	174
amenawat	ամենաշատ	14
amenawate	ամենաշատը	174
amenawatn	ամենաշատն	14
amenawatu	ամենաշատը	174
amenawaty	ամենաշատը	174
amenawkeq	ամենաշքեղ	34
amenaxelacin	ամենախելացին	14
amenaxowor	ամենախոշոր	23
amenayn	ամենայն	38
amenazkayun	ամենազգայուն	23
amene	ամենը	174
amenevin	ամենեւին	47
ameni	ամենի	34
amenic	ամենից	166
amenin	ամենին	14
amenn	ամենն	23
amenorakyal	ամենորակյալ	34
amenorakyal	ամենորակյալը	23
amenorakyale	ամենորակյալը	23
amenorakyalu	ամենորակյալը	23
amenorakyaly	ամենորակյալը	23
amenorya	ամենօրյա	44
amenu	ամենը	174
amenur	ամենուր	14
ameny	ամենը	174
amerika	ամերիկա	42
amerikaci	ամերիկացի	23
amerikacineri	ամերիկացիների	14
amerikayi	ամերիկայի	57
amerikayic	ամերիկայից	55
